ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1804886	9.00e-01	5.06e-01	0.6872768	-6.502868	0.0719563	HTR1D	5-hydroxytryptamine receptor 1D
ILMN_1676407	9.00e-01	5.06e-01	-0.6872663	-6.502875	-0.06221018		
ILMN_1664437	9.00e-01	5.06e-01	-0.6871853	-6.502933	-0.05028661		
ILMN_3243568	9.00e-01	5.06e-01	-0.6871467	-6.50296	-0.15410761		
ILMN_1763728	9.00e-01	5.06e-01	0.6871094	-6.502986	0.0658205	OR6C68	olfactory receptor family 6 subfamily C member 68
ILMN_2295213	9.00e-01	5.06e-01	-0.6869964	-6.503066	-0.04573584	PDE8A	phosphodiesterase 8A
ILMN_1780400	9.00e-01	5.06e-01	0.6869888	-6.503072	0.06393339	ZNF843	zinc finger protein 843
ILMN_1714854	9.00e-01	5.06e-01	-0.6869612	-6.503091	-0.06822871	MEAF6	MYST/Esa1 associated factor 6
ILMN_1702835	9.00e-01	5.06e-01	0.6869306	-6.503113	0.09003014	SH3BGRL	SH3 domain binding glutamate rich protein like
ILMN_1757723	9.00e-01	5.06e-01	0.6868969	-6.503137	0.04860258	C6orf106	chromosome 6 open reading frame 106
ILMN_1702221	9.00e-01	5.06e-01	-0.6868785	-6.50315	-0.04052821	MCM8	minichromosome maintenance 8 homologous recombination repair factor
ILMN_1762445	9.00e-01	5.06e-01	-0.6868563	-6.503166	-0.05095583	ME3	malic enzyme 3
ILMN_3307958	9.00e-01	5.06e-01	0.6867286	-6.503256	0.04035927	NEK10	NIMA related kinase 10
ILMN_1809543	9.00e-01	5.06e-01	-0.6867185	-6.503263	-0.05015663	BDNF	brain derived neurotrophic factor
ILMN_1868808	9.00e-01	5.06e-01	-0.6867056	-6.503272	-0.05095926		
ILMN_1741662	9.00e-01	5.06e-01	-0.6866759	-6.503293	-0.06868627		
ILMN_3206312	9.00e-01	5.06e-01	-0.686648	-6.503313	-0.06948331		
